Type,Start,End,Duration,Distance,"Average Heart Rate","Max Heart Rate","Average Pace","Average Speed","Average Cadence","Active Energy","Total Energy","Elevation Ascended","Elevation Descended",Weather Temperature,Weather Humidity
"Outdoor Walking","2019-02-27 17:17","2019-02-27 18:07","0:50:24","4.1100576961834445","86.1309349401891","100.82126417396448","0:12:15","4.8916297233375845","213.1934855051363","292.2820000000001","424.27300000000025","44.39",,"5.5555555555556","38"
"Indoor Walking","2019-02-27 14:07","2019-02-27 14:52","0:45:36","3.604599828092847","80.81867820508447","82.71561410306084","0:12:39","4.742478056424807","112.23047827478796","228.361","358.785",,,"5.5555555555556","29"
"Rowing","2019-02-27 13:39","2019-02-27 13:54","0:15:04",,"113.25775455158463","113.25775455158463",,,,"101.70800000000006","136.07600000000008",,,"5.000000000000057","30"
"Other","2019-02-27 12:33","2019-02-27 13:27","0:53:28",,"89.4027449323138","95.72827987639826",,,,"308.9759999999997","428.02399999999983",,,"4.444444444444457","30"
"Indoor Cycling","2019-02-27 12:03","2019-02-27 12:18","0:15:47",,"99.56310610015578","103.77971915099671",,,,"101.11700000000002","137.11600000000004",,,"3.888888888888914","30"
"Stair Climbing","2019-02-26 13:21","2019-02-26 13:52","0:30:59",,"114.50778838182464","119.3023622047244",,,,"284.5809999999999","385.6289999999999",,,"3.3333333333333712","30"
"Stair Climbing","2019-02-26 12:53","2019-02-26 13:09","0:15:29",,"120.97304320111394","127.01553110452816",,,,"152.6289999999999","187.95699999999994",,,"2.7777777777778283","29"
"Other","2019-02-26 11:50","2019-02-26 12:46","0:55:46",,"85.31428456921915","90.34308731458836",,,,"312.4360000000003","435.94300000000044",,,"1.6666666666666856","30"
"Indoor Cycling","2019-02-26 11:31","2019-02-26 11:45","0:14:23",,"105.18957843741998","108.60897435897438",,,,"102.56600000000006","135.39700000000008",,,"1.6666666666666856","30"
"Indoor Walking","2019-02-25 12:26","2019-02-25 13:06","0:39:34","4.601504437591066","97.56430095755489","110.70130681272217","0:08:36","6.975777367986169","119.60157940160586","395.16200000000015","515.6390000000001",,,"2.7777777777778283","34"
"Indoor Cycling","2019-02-25 11:53","2019-02-25 12:18","0:24:48",,"111.17973632844802","114.06861198738166",,,,"204.668","260.92400000000004",,,"2.7777777777778283","34"
"Stair Climbing","2019-02-25 11:32","2019-02-25 11:48","0:15:32",,"111.5704975590876","118.63594374167775",,,,"134.44599999999988","169.8699999999999",,,"2.7777777777778283","34"
"Indoor Running","2019-02-24 15:01","2019-02-24 15:29","0:25:38","3.842655130561335","106.60656116127275","118.33224530035349","0:06:40","8.993444594984705","138.94898496345456","354.39","443.83299999999997",,,"7.222222222222285","41"
"Indoor Cycling","2019-02-24 14:27","2019-02-24 14:57","0:30:09",,"80.5895853917218","83.59753269183324",,,,"115.7909999999999","184.14099999999996",,,"7.222222222222285","41"
"Stair Climbing","2019-02-24 14:03","2019-02-24 14:14","0:11:01",,"110.71484339944361","110.71484339944361",,,,"93.98200000000004","119.23000000000006",,,"6.666666666666686","44"
"Other","2019-02-24 13:11","2019-02-24 13:51","0:40:34",,"90.17105865460236","94.16006157154028",,,,"246.95599999999993","336.837",,,"6.666666666666686","44"
"Outdoor Walking","2019-02-23 15:52","2019-02-23 17:16","1:23:35","6.777439957769587","78.08749654215337","82.99289441411982","0:12:20","4.86421838004557","217.93569708247713","479.634","687.1090000000003","76.86",,"6.666666666666686","66"
"Elliptical","2019-02-22 13:25","2019-02-22 14:07","0:41:10",,"99.84388428262557","106.62084978660009",,,,"294.34200000000004","417.79100000000005",,,"3.3333333333333712","84"
"Indoor Cycling","2019-02-22 13:08","2019-02-22 13:22","0:14:48",,"85.6739674457273","87.11183891314897",,,,"68.42099999999994","102.21299999999997",,,"3.3333333333333712","86"
"Stair Climbing","2019-02-21 14:26","2019-02-21 14:59","0:32:52",,"113.93006638502129","126.5337464272461",,,,"314.58199999999994","417.595",,,"7.222222222222285","42"
"Indoor Cycling","2019-02-21 13:58","2019-02-21 14:12","0:13:33",,"121.36775639758918","122.375",,,,"131.2789999999999","162.28699999999992",,,"7.777777777777828","39"
"Stair Climbing","2019-02-21 13:37","2019-02-21 13:52","0:15:02",,"123.69961984987681","128.39531084846732",,,,"153.78599999999992","188.05799999999994",,,"7.777777777777828","39"
"Other","2019-02-21 12:52","2019-02-21 13:22","0:30:03",,"101.45681556593114","102.86696562032886",,,,"178.99100000000007","275.6590000000001",,,"7.222222222222285","43"
"Indoor Walking","2019-02-20 14:14","2019-02-20 15:07","0:53:05","6.013544226037455","100.53332871515617","121.09554484657741","0:08:49","6.7955365554676845","117.08387995959006","526.038","646.1340000000001",,,"5.5555555555556","66"
"Other","2019-02-20 12:55","2019-02-20 13:52","0:57:07",,"96.01071872364246","108.86262625655944",,,,"339.92599999999993","498.14000000000004",,,"5.5555555555556","68"
"Indoor Walking","2019-02-19 15:46","2019-02-19 16:19","0:32:47","2.7816186193255708","79.80213857675105","81.86192063469696","0:11:47","5.090272015561956","107.36204260966504","201.07399999999996","297.33299999999997",,,"2.7777777777778283","89"
"Stair Climbing","2019-02-19 14:52","2019-02-19 15:24","0:32:30",,"108.20890603599646","115.5635427496411",,,,"281.8859999999999","385.85499999999996",,,"2.7777777777778283","87"
"Indoor Walking","2019-02-18 15:31","2019-02-18 16:11","0:39:18","4.786783152413787","98.48796859297904","113.71624209481324","0:08:12","7.305487307933069","122.7041912470531","415.8320000000001","535.1970000000001",,,"3.3333333333333712","56"
"Indoor Cycling","2019-02-18 14:38","2019-02-18 15:08","0:30:20",,"93.52222579151781","97.16112412177982",,,,"174.89299999999994","272.865",,,"2.7777777777778283","56"
